iter	RMSE
0	14.13080439
1	13.33279306
2	12.64622114
3	11.9446216
4	11.36947149
5	10.80397955
6	10.34265244
7	9.852965741
8	9.524107735
9	9.121778308
10	8.811517333
11	8.514918847
12	8.202626648
13	7.954807748
14	7.716225793
15	7.508496992
16	7.331132047
17	7.189141616
18	7.046671468
19	6.902802635
20	6.775517389
21	6.662448921
22	6.561125127
23	6.449044101
24	6.364366626
25	6.297230235
26	6.230723875
27	6.155032614
28	6.099773394
29	6.047839634
30	5.994758291
31	5.952206544
32	5.909907183
33	5.858714187
34	5.833043246
35	5.803317307
36	5.767147265
37	5.730695927
38	5.70899489
39	5.681720874
40	5.6639302
41	5.629910561
42	5.613203445
43	5.596886028
44	5.575977814
45	5.553497904
46	5.543459299
47	5.529394418
48	5.509352073
49	5.496048139
50	5.482796217
51	5.470264326
52	5.45824378
53	5.445701781
54	5.43459374
55	5.423966114
56	5.416374679
57	5.407436621
58	5.399791153
59	5.392383004
60	5.381931089
61	5.371090049
62	5.363775787
63	5.353174331
64	5.344438501
65	5.337144542
66	5.332356154
67	5.324568067
68	5.306837287
69	5.302929044
70	5.298748073
71	5.290559157
72	5.284880208
73	5.280650759
74	5.271875863
75	5.266206728
76	5.26076696
77	5.254563854
78	5.249818873
79	5.246302184
80	5.241754943
81	5.238437421
82	5.234961415
83	5.223981498
84	5.219509509
85	5.212513285
86	5.20730808
87	5.195421397
88	5.190980777
89	5.187508018
90	5.177103167
91	5.174056107
92	5.17056901
93	5.166981753
94	5.162514691
95	5.154802192
96	5.151504108
97	5.145290024
98	5.143306108
99	5.141101362
100	5.132692189
101	5.128185001
102	5.125145571
103	5.121777584
104	5.120209177
105	5.115840909
106	5.108364745
107	5.101425085
108	5.098991963
109	5.094099838
110	5.08707156
111	5.081350257
112	5.07600873
113	5.06920389
114	5.062466058
115	5.059802833
116	5.056027939
117	5.053465305
118	5.049692094
119	5.04704737
120	5.045236181
121	5.03918605
122	5.037686164
123	5.027240834
124	5.025169191
125	5.020722982
126	5.015966328
127	5.011919883
128	5.005366324
129	5.003901705
130	4.995102656
131	4.992294203
132	4.990046611
133	4.984843447
134	4.979549205
135	4.978267234
136	4.973240157
137	4.970036231
138	4.96738991
139	4.96481273
140	4.958427052
141	4.956059667
142	4.950533679
143	4.947815593
144	4.9428842
145	4.940451197
146	4.938477293
147	4.935068835
148	4.928651724
149	4.927539436
