iter	Passed	Remaining
0	46	4556
1	46	2266
2	46	1501
3	46	1117
4	46	887
5	46	733
6	46	624
7	47	542
8	47	478
9	47	426
10	47	384
11	47	349
12	47	319
13	47	294
14	48	272
15	48	252
16	48	235
17	48	220
18	48	206
19	48	194
20	48	183
21	48	173
22	49	164
23	49	155
24	49	147
25	49	140
26	49	133
27	49	127
28	49	121
29	49	116
30	50	111
31	50	106
32	50	102
33	50	97
34	50	93
35	50	90
36	50	86
37	50	83
38	51	79
39	51	76
40	51	73
41	51	70
42	51	68
43	51	65
44	51	63
45	51	60
46	52	58
47	52	56
48	52	54
49	52	52
50	52	50
51	52	48
52	52	46
53	52	45
54	53	43
55	53	41
56	53	40
57	53	38
58	53	37
59	53	35
60	53	34
61	53	33
62	53	31
63	54	30
64	54	29
65	54	28
66	54	26
67	54	25
68	54	24
69	54	23
70	55	22
71	55	21
72	55	20
73	55	19
74	55	18
75	55	17
76	55	16
77	55	15
78	56	14
79	56	14
80	56	13
81	56	12
82	56	11
83	56	10
84	56	10
85	56	9
86	57	8
87	57	7
88	57	7
89	57	6
90	57	5
91	57	5
92	57	4
93	57	3
94	58	3
95	58	2
96	58	1
97	58	1
98	58	0
99	58	0
